prime_word,target_word,TargetAccuracy,RTRecogniseTarget
SNEAKER,SURF,1,2282
SOAK,BAY,1,1757
SON,KIDS,1,1646
SPIN,SNACK,1,1698
SPLINTER,BOXING,1,1791
SPONGE,FINAL,1,2426
SPREE,SWEET,1,2211
START,BEGIN,1,1751
STINGY,ARGUE,1,1894
STOCKING,HEADBAND,1,3415
STREAM,OCEAN,1,2227
SURVEY,SEA,1,1256
TERROR,HINGE,1,3449
THERAPY,TYLENOL,1,2864
THERMOMETER,WARMTH,1,4415
THINK,NEWS,1,1075
THRIFT,UNION,1,1653
TICKLE,CRY,1,1110
TIDE,STEPS,1,3104
TINY,SUPER,1,1744
TOPIC,ISSUE,0,2256
TOWER,VERDICT,1,2860
TRAGEDY,REMORSE,1,2817
TRANSPORTAT,PLANE,1,2800
TREES,HEDGE,1,2141
TRICYCLE,PASS,1,2718
TUG,CHIPMUNK,1,1440
UNICORN,ELK,1,1565
UNUSED,ELIMINATION,1,2122
UPSET,APATHETIC,1,5369
VEER,INTERSTATE,1,3286
VEST,SHIRT,1,2945
VICTIM,ALUMINUM,1,3752
VIOLENCE,MAFIA,1,2325
VIRUS,BACTERIA,1,2478
PUSH,MASK,1,1248
VOICE,MARROW,1,3335
VOLCANO,OFTEN,1,1619
VOYAGE,GRATE,1,4461
WAGE,ABDUCT,1,2228
WARDROBE,SLEEVE,1,1907
WART,CONCENTRATE,1,4130
WATERFALL,RAPID,1,2236
WEAR,BUCKLE,1,2593
WEEK,WELCOME,1,2705
EVERYDAY,CEREMONY,1,4372
WHISPER,CRACKLE,1,2332
WINGS,HAWK,1,1782
WOODS,HONEY,1,1949
WRITER,YEARLY,1,3131
OUTRAGEOUS,ABSURD,1,2125
REVIEW,ADJECTIVE,1,2146
LUST,ADORE,1,1448
ENGAGE,AGAIN,1,2131
FORESIGHT,ALGEBRA,0,2160
MAGNET,ALTER,1,2095
FUSS,AMBULANCE,1,1608
RELEASE,ANCHOR,1,1774
PRECISE,ANSWER,1,1700
MANSION,APARTMENT,1,1960
NASTY,APPEARANCE,1,1609
INSTANT,APPENDAGE,1,3236
TEAPOT,APPLIANCE,1,2611
CREATIVE,ARCHITECTURE,1,2337
COOKING,ARMY,1,1581
SMOKING,ASHTRAY,1,1897
DETERGENT,ASLEEP,1,4205
SMALL,ATTENDANCE,1,1725
PERFORMANCE,AUDIENCE,1,1563
PRESENCE,AWFUL,1,2734
TEST,FLUNK,1,1415
DOCUMENT,BASSINET,0,2737
DEODORANT,BEACH,1,1971
MATTRESS,BEDROOM,1,1555
SIBLING,BELONG,1,1731
SEAFOOD,CONFERENCE,1,3104
ARENA,BOG,1,1769
SLIMY,BROOM,1,1603
CERAMICS,BULLET,1,2101
BUGGY,BUNCH,1,2119
COMPLICATED,BURDEN,1,1064
CAREER,BUTLER,1,1644
HIGHWAY,CHECKING,1,1926
RAW,CHILI,0,1654
CONE,CIRCLE,1,3280
BUILDER,TOOL,1,1909
TRANQUIL,COMFORT,1,1058
BIT,COMPASS,1,1742
KID,COMPOUND,1,2142
PROFESSION,CONTENT,1,1063
SHIP,COVERED,1,3311
BETTER,CROCHET,1,2192
RECTANGLE,CUBE,1,1637
AGENT,CUSS,1,3683
FORCE,CYLINDER,0,1914
SLOW,DART,1,1841
REST,DASH,1,1598
BETRAY,DECEPTION,0,1956
DISSOLVE,DECOMPOSE,1,2239
CLOWN,DEPRESSED,0,1597
TREASON,DETECTIVE,1,2287
POPULAR,DIGESTION,1,2439
REFRAIN,DIRECTION,1,2456
LIPS,DISCUSSION,1,2069
CREATE,DISPLAY,1,2162
SNORKEL,DOWNSTREAM,1,3407
LOTTERY,DUE,1,1988
BRA,DUNK,1,2210
HUGE,DWARVES,1,2613
CELL,EARNESTNESS,1,5956
BRACELET,EARRING,1,1897
ODD,EQUAL,1,1044
SCALPEL,ERECT,1,2241
SCHEME,EXHAUSTED,1,1049
TRUTHFUL,EXPRESS,1,1036
FIGURE,FACTOR,1,2103
CHORUS,FAITH,1,1867
FRIENDLY,FANCY,1,4414
TULIP,FARMER,1,1625
HEAVY,FAT,1,2730
FELT,FAULT,1,1803
FAMINE,FEED,1,1561
ZUCCHINI,FIN,1,1700
LID,FIREMAN,1,2408
HOSTILITY,FIST,1,2112
CHAMPAGNE,FLASK,1,1779
BOOKBAG,FOLD,1,1732
STRIVE,FOOLISH,1,2386
MESSAGE,FORM,1,1450
FACE,FRIENDLINESS,1,2239
SPEAKER,FRIGID,1,1572
THIEF,FRISK,1,2349
SPACE,GALAXY,1,2246
LOAF,GAMBLE,1,1914
COMPASSION,GHOUL,1,3227
SHE,CHILDREN,1,2809
PLAZA,GOODS,1,2283
WRITE,GRAFT,0,2374
FEMALE,GROOM,1,1980
ORDINARY,GUIDE,1,1752
HORMONES,GUY,1,2087
SAILOR,HARBOR,1,1803
KITTEN,HAT,1,2264
TIMID,HEIGHTS,1,2734
CHASE,HER,1,1486
TRUCK,HIGH,1,2180
PENNY,HOBO,1,2787
DROP,HOLD,1,1580
DIAMOND,HOOK,1,1620
ARIGHT,HORROR,1,1658
RIBS,HUNGRY,1,1647
EMPLOYER,INCOME,1,2481
ALLERGY,INJECTION,1,1956
BRITANNICA,INSTRUCT,1,3278
CRUDE,INSTRUMENT,1,3721
FACTS,IVY,1,2988
COMMERCIAL,JOKER,1,1473
MEDIA,JOURNAL,1,1069
DISPERSE,JOURNEY,1,1610
RODENT,JOY,1,2457
BANANA,JUICE,1,1850
PREJUDICE,LADDER,1,2823
WASH,LAUNDRY,1,1766
LOTS,LESS,0,1577
ASSOCIATE,LESSON,1,1739
GOVERNOR,LIBEL,0,1678
CREW,LUCK,1,2375
FRAGRANCE,LUNCH,1,1694
RELAX,MACHINE,1,1626
BANK,MAILBOX,1,1926
QUARTER,MALL,1,1694
SILVERWARE,MAYBE,1,1743
CAFETERIA,MEAL,1,1768
SINCE,MEASURE,1,1598
VULNERABLE,MEEK,1,1573
HALL,MILE,1,1662
DELICIOUS,MINTS,1,2640
RASPBERRY,MIX,1,1034
OWE,MORTGAGE,1,1670
PEAS,MUSHROOM,1,1843
KEYBOARD,MUSIC,1,2880
TELLER,NINE,1,3118
DOZE,NOISY,1,1633
HITCH,NUT,1,2068
BLOSSOM,QUIT,1,1579
BREAD,OMELET,1,1678
MASH,ONION,1,2267
NITROGEN,OXYGEN,1,1059
CANVASS,PAD,1,1823
SLEIGH,PADDY,1,2754
WOMAN,PAL,1,1711
BUN,PANCAKES,1,1058
CLINIC,PANE,1,1756
CARNIVAL,PARADE,1,1577
NOTEBOOK,PARAGRAPH,1,2669
BOND,PEBBLE,1,1659
PANTYHOSE,PEPSI,1,2683
BLUEJAY,PIGEON,1,1558
MEADOW,PLANT,1,1244
CLOTHES,PLEDGE,1,3321
TONIC,POCKET,1,1588
BUREAU,POLYESTER,1,2800
DRIVER,POP,1,3181
CLUMSY,PORK,0,2463
BLOOM,POT,1,1593
FILE,POUND,0,1444
INTEGRITY,PRESIDENT,1,2589
ORCHARD,PRODUCE,1,1575
RIDICULOUS,PRODUCTION,1,3371
LAWYER,PROSECUTE,1,8358
PIECES,PROTEIN,0,1623
STANDARDS,PROVISION,1,4225
TIGER,PUFF,1,1824
COPIER,QUARREL,1,2593
SAMPLE,RECIPE,1,1819
OUTDOORS,RECREATION,1,2193
AFTERNOON,REPRESS,1,3099
CAB,ROAD,1,1975
SPATULA,ROOT,1,1748
BUTTER,RYE,1,1996
ANTELOPE,SALES,1,2711
DISGUST,SCARED,1,1061
DIGIT,SCHEDULE,1,2078
HORRIBLE,SCRAMBLE,1,1666
ARMOR,SCRATCH,1,2106
OWNER,SELLER,1,1700
OVERVIEW,SENTRY,1,1669
SUEDE,SERPENT,1,2211
THINGS,SEVERAL,1,1552
GENDER,SEX,1,1873
IMPACT,SHATTER,1,1721
BUCK,SHEEP,1,2226
SACK,SHEETS,1,1634
LAP,SHOE,1,1594
TRIGGER,SHOOTING,1,1076
STEEL,SICK,1,2071
CORK,SIDEWALK,0,2158
MASK,PUSH,1,1619
NUCLEAR,SLAY,1,1759
NEW,SLEEPY,1,2734
SURF,SNEAKER,1,1698
BAY,SOAK,1,1702
KIDS,SON,1,1451
SNACK,SPIN,1,1928
BOXING,SPLINTER,1,2992
FINAL,SPONGE,1,2277
SWEET,SPREE,1,2171
BEGIN,START,1,1862
ARGUE,STINGY,1,3469
HEADBAND,STOCKING,1,2185
OCEAN,STREAM,1,1684
SEA,SURVEY,1,2138
HINGE,TERROR,1,1910
TYLENOL,THERAPY,1,2587
WARMTH,THERMOMETER,1,1639
NEWS,THINK,1,2263
UNION,THRIFT,1,1993
CRY,TICKLE,1,2624
STEPS,TIDE,1,2087
SUPER,TINY,1,2258
ISSUE,TOPIC,1,1719
VERDICT,TOWER,1,2284
REMORSE,TRAGEDY,1,1730
PLANE,TRANSPORTATION,1,1598
HEDGE,TREES,1,1674
PASS,TRICYCLE,1,2428
CHIPMUNK,TUG,0,1829
ELK,UNICORN,1,1550
ELIMINATION,UNUSED,1,2637
APATHETIC,UPSET,1,1607
INTERSTATE,VEER,1,2211
SHIRT,VEST,0,2272
ALUMINUM,VICTIM,0,1814
MAFIA,VIOLENCE,1,1624
BACTERIA,VIRUS,1,3279
REPUBLICAN,CONVENT,1,3821
MARROW,VOICE,1,2257
OFTEN,VOLCANO,1,1565
GRATE,VOYAGE,1,2599
ABDUCT,WAGE,1,1643
SLEEVE,WARDROBE,1,5447
CONCENTRATE,WART,1,1607
RAPID,WATERFALL,1,2069
BUCKLE,WEAR,1,1075
WELCOME,WEEK,1,1816
CEREMONY,EVERYDAY,1,1154
CRACKLE,WHISPER,1,1050
HAWK,WINGS,1,3929
HONEY,WOODS,1,2627
YEARLY,WRITER,1,3118
ABSURD,OUTRAGEOUS,1,2288
ADJECTIVE,REVIEW,1,1846
